epoch,step,train_elbo_loss,train_kld_content,train_kld_style,train_recon_loss
0,49,324.6628112792969,3.6381983757019043,36.82176208496094,304.4328308105469
0,99,180.7960662841797,4.082849025726318,23.81033706665039,166.84947204589844
0,149,137.33663940429688,4.861670970916748,18.0548038482666,125.87840270996094
1,199,94.56217193603516,5.175352096557617,14.021597862243652,84.96369934082031
1,249,89.10832977294922,5.957986831665039,12.39145278930664,79.93360900878906
1,299,84.255859375,5.299023151397705,11.220382690429688,75.99615478515625
1,349,67.75778198242188,5.800381183624268,13.10114860534668,58.30701446533203
2,399,57.25684356689453,4.304632186889648,10.022313117980957,50.09336853027344
2,449,52.588497161865234,4.57874870300293,10.36762809753418,45.11530685424805
2,499,48.76091003417969,4.547579765319824,10.756708145141602,41.108768463134766
